/home/wangsh/DBALwithImgData-main/main.py:10: DeprecationWarning: Please use `gaussian_filter1d` from the `scipy.ndimage` namespace, the `scipy.ndimage.filters` namespace is deprecated.
  from scipy.ndimage.filters import gaussian_filter1d
Using device: cuda:0
Dataset is unwei_ASL_MNIST
DataLoader :  <load_data.LoadASLData object at 0x148b167c6dc0>
test Accuracy after query 85: 0.9258
Val Accuracy after query 90: 1.0000
test Accuracy after query 90: 0.9310
Val Accuracy after query 95: 1.0000
test Accuracy after query 95: 0.9340
Val Accuracy after query 100: 1.0000
test Accuracy after query 100: 0.9246
Val Accuracy after query 105: 1.0000
test Accuracy after query 105: 0.9280
Val Accuracy after query 110: 1.0000
test Accuracy after query 110: 0.9336
Val Accuracy after query 115: 1.0000
test Accuracy after query 115: 0.9342
Val Accuracy after query 120: 1.0000
test Accuracy after query 120: 0.9312
Val Accuracy after query 125: 1.0000
test Accuracy after query 125: 0.9322
Val Accuracy after query 130: 1.0000
test Accuracy after query 130: 0.9314
Val Accuracy after query 135: 1.0000
test Accuracy after query 135: 0.9224
Val Accuracy after query 140: 1.0000
test Accuracy after query 140: 0.9382
Val Accuracy after query 145: 1.0000
test Accuracy after query 145: 0.9288
Val Accuracy after query 150: 1.0000
test Accuracy after query 150: 0.9356
********** Test Accuracy per experiment: 0.9356 **********
********** Experiment 1 (max_entropy-MC_dropout=True): 0:26:51 **********
********** Experiment Iterations: 2/3 **********
X_init.shape:  (48, 1, 28, 28)
y_init.shape:  (48,)
Val Accuracy after query 5: 0.3300
test Accuracy after query 5: 0.3308
Val Accuracy after query 10: 0.4100
test Accuracy after query 10: 0.4146
Val Accuracy after query 15: 0.5500
test Accuracy after query 15: 0.4982
Val Accuracy after query 20: 0.5300
test Accuracy after query 20: 0.5944
Val Accuracy after query 25: 0.6600
test Accuracy after query 25: 0.6382
Val Accuracy after query 30: 0.7200
test Accuracy after query 30: 0.6928
Val Accuracy after query 35: 0.8100
test Accuracy after query 35: 0.7694
Val Accuracy after query 40: 0.8400
test Accuracy after query 40: 0.7638
Val Accuracy after query 45: 0.8600
test Accuracy after query 45: 0.7922
Val Accuracy after query 50: 0.9000
test Accuracy after query 50: 0.7972
Val Accuracy after query 55: 0.9300
test Accuracy after query 55: 0.8316
Val Accuracy after query 60: 0.9200
test Accuracy after query 60: 0.8350
Val Accuracy after query 65: 0.9800
test Accuracy after query 65: 0.8830
Val Accuracy after query 70: 0.9800
test Accuracy after query 70: 0.8868
Val Accuracy after query 75: 0.9900
test Accuracy after query 75: 0.8898
Val Accuracy after query 80: 0.9700
test Accuracy after query 80: 0.9088
Val Accuracy after query 85: 1.0000
test Accuracy after query 85: 0.8980
Val Accuracy after query 90: 1.0000
test Accuracy after query 90: 0.9110
Val Accuracy after query 95: 1.0000
test Accuracy after query 95: 0.9166
Val Accuracy after query 100: 1.0000
test Accuracy after query 100: 0.9250
Val Accuracy after query 105: 1.0000
test Accuracy after query 105: 0.9298
Val Accuracy after query 110: 1.0000
test Accuracy after query 110: 0.9226
Val Accuracy after query 115: 1.0000
test Accuracy after query 115: 0.9262
Val Accuracy after query 120: 1.0000
test Accuracy after query 120: 0.9216
Val Accuracy after query 125: 1.0000
test Accuracy after query 125: 0.9274
